time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
1.935,3,399.000,841.000,95.000,643.000,388.000,860.000,97.000,598.000,388.000,860.000,97.000,598.000,0.038,0.25,0.62,0.01,0.01,0.06,0.04,0.01,0.01,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.969,3,388.000,860.000,97.000,598.000,388.000,868.000,98.000,592.000,388.000,868.000,98.000,592.000,0.008,0.26,0.62,0.01,0.01,0.06,0.04,0.01,0.01,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.002,3,388.000,868.000,98.000,592.000,391.000,867.000,101.000,589.000,391.000,867.000,101.000,589.000,0.005,0.25,0.62,0.01,0.01,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.035,3,391.000,867.000,101.000,589.000,375.000,874.000,99.000,630.000,375.000,874.000,99.000,630.000,0.034,0.27,0.63,0.01,0.00,0.05,0.03,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.069,3,375.000,874.000,99.000,630.000,379.000,867.000,101.000,603.000,379.000,867.000,101.000,603.000,0.019,0.26,0.63,0.01,0.01,0.06,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.102,3,379.000,867.000,101.000,603.000,385.000,865.000,103.000,608.000,385.000,865.000,103.000,608.000,0.008,0.26,0.63,0.01,0.01,0.05,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.135,3,385.000,865.000,103.000,608.000,383.000,864.000,102.000,597.000,383.000,864.000,102.000,597.000,0.008,0.26,0.63,0.01,0.00,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.169,3,383.000,864.000,102.000,597.000,387.000,862.000,101.000,594.000,387.000,862.000,101.000,594.000,0.005,0.26,0.63,0.01,0.00,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.202,3,387.000,862.000,101.000,594.000,383.000,860.000,100.000,602.000,383.000,860.000,100.000,602.000,0.008,0.25,0.64,0.01,0.01,0.06,0.03,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.236,3,383.000,860.000,100.000,602.000,389.000,850.000,104.000,587.000,389.000,850.000,104.000,587.000,0.018,0.24,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.269,3,389.000,850.000,104.000,587.000,389.000,847.000,105.000,590.000,389.000,847.000,105.000,590.000,0.004,0.24,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.302,3,389.000,847.000,105.000,590.000,385.000,849.000,102.000,594.000,385.000,849.000,102.000,594.000,0.007,0.25,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.336,3,385.000,849.000,102.000,594.000,384.000,849.000,100.000,594.000,384.000,849.000,100.000,594.000,0.002,0.24,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.369,3,384.000,849.000,100.000,594.000,387.000,848.000,101.000,590.000,387.000,848.000,101.000,590.000,0.005,0.25,0.63,0.01,0.01,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.402,3,387.000,848.000,101.000,590.000,387.000,847.000,94.000,591.000,387.000,847.000,94.000,591.000,0.005,0.25,0.63,0.01,0.01,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.436,3,387.000,847.000,94.000,591.000,384.000,847.000,95.000,595.000,384.000,847.000,95.000,595.000,0.004,0.24,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.469,3,384.000,847.000,95.000,595.000,383.000,848.000,91.000,595.000,383.000,848.000,91.000,595.000,0.003,0.23,0.65,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.503,3,383.000,848.000,91.000,595.000,383.000,848.000,89.000,599.000,383.000,848.000,89.000,599.000,0.003,0.24,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.536,3,383.000,848.000,89.000,599.000,382.000,846.000,91.000,605.000,382.000,846.000,91.000,605.000,0.006,0.24,0.64,0.01,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.569,3,382.000,846.000,91.000,605.000,385.000,844.000,91.000,599.000,385.000,844.000,91.000,599.000,0.006,0.24,0.63,0.01,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.603,3,385.000,844.000,91.000,599.000,384.000,842.000,92.000,598.000,384.000,842.000,92.000,598.000,0.003,0.23,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
