time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.280,6,309.407,444.315,197.438,284.183,308.000,446.000,199.000,288.000,308.425,446.048,197.946,286.236,-15.349,44.368,44.368,13.174,-17.043,44.175,-5.935,20.200,0.021,0.07,0.00,0.00,0.01,0.15,0.56,0.13,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.50
0.280,8,442.189,595.044,255.304,336.198,439.000,598.000,255.000,336.000,440.988,597.274,255.276,336.455,44.220,28.676,28.676,23.418,21.006,37.148,6.404,18.105,0.012,0.01,0.00,0.02,0.01,0.16,0.73,0.07,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.48
0.280,4,612.150,764.285,204.460,313.300,618.000,764.000,204.000,313.000,615.643,764.974,204.041,313.755,36.326,38.295,38.295,27.706,45.716,34.416,-9.773,24.699,0.012,0.09,0.02,0.00,0.00,0.08,0.18,0.13,0.50,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.48
0.280,7,208.070,297.620,176.159,236.731,203.000,305.000,171.000,239.000,205.444,301.552,173.069,237.671,7.091,-4.338,-4.338,-16.076,-11.505,21.899,-31.410,-5.960,0.065,0.14,0.06,0.02,0.01,0.25,0.27,0.11,0.14,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.27
0.320,2,842.735,1029.726,326.223,468.881,844.000,1030.000,325.000,472.000,844.345,1031.543,326.347,470.842,46.943,75.254,75.254,26.642,45.871,70.465,24.986,30.236,0.010,0.19,0.04,0.00,0.00,0.08,0.34,0.15,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,1.00
0.320,3,545.111,742.942,408.105,569.813,548.000,749.000,418.000,577.000,547.514,746.281,413.750,575.035,50.662,30.887,30.887,92.551,52.171,39.327,72.126,98.650,0.038,0.02,0.01,0.00,0.02,0.07,0.24,0.10,0.53,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.320,5,444.911,617.802,304.194,416.212,438.000,621.000,301.000,411.000,443.178,620.186,304.156,415.488,56.793,43.871,43.871,68.698,40.722,46.397,50.302,54.767,0.033,0.03,0.01,0.01,0.00,0.09,0.59,0.17,0.11,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.82
0.320,1,568.612,844.731,629.542,723.394,580.000,840.000,632.000,723.000,573.771,843.633,633.160,723.254,8.525,42.809,42.809,1.425,27.859,31.531,109.273,0.635,0.022,0.01,0.00,0.02,0.04,0.29,0.62,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.62
0.320,8,441.828,598.760,255.533,337.179,433.000,597.000,256.000,337.000,437.414,598.482,255.904,337.412,21.006,37.148,37.148,18.105,-12.580,25.872,7.138,14.967,0.019,0.01,0.01,0.03,0.01,0.19,0.68,0.07,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.53
0.320,4,617.472,766.350,203.650,314.743,616.000,772.000,203.000,326.000,617.861,769.591,203.146,320.210,45.716,34.416,34.416,24.699,39.939,41.895,-10.225,42.673,0.039,0.11,0.03,0.00,0.00,0.07,0.21,0.13,0.44,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.51
0.320,6,307.744,447.815,197.708,287.044,314.000,447.000,202.000,285.000,310.088,448.456,199.446,286.608,-17.043,44.175,44.175,20.200,-4.900,39.656,1.992,15.208,0.030,0.07,0.00,0.01,0.01,0.17,0.56,0.13,0.06,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.39
0.320,7,204.984,302.428,171.812,237.432,204.000,303.000,173.000,239.000,204.262,303.152,171.776,238.095,-11.505,21.899,21.899,-5.960,-12.907,21.085,-24.863,-1.122,0.014,0.15,0.07,0.02,0.01,0.25,0.26,0.10,0.14,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.29
0.360,3,549.601,747.854,416.635,578.981,549.000,754.000,428.000,584.000,550.575,751.320,423.031,583.371,52.171,39.327,39.327,98.650,48.225,46.042,84.578,100.225,0.034,0.02,0.01,0.00,0.02,0.07,0.23,0.12,0.53,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.360,2,846.180,1034.362,327.347,472.052,850.000,1037.000,329.000,475.000,848.837,1037.106,328.617,473.981,45.871,70.465,70.465,30.236,48.785,70.200,25.946,32.790,0.017,0.16,0.03,0.00,0.00,0.08,0.34,0.17,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.99
0.360,5,444.806,622.042,306.169,417.679,445.000,630.000,297.000,413.000,445.841,626.424,303.552,417.026,40.722,46.397,46.397,54.767,38.614,55.357,33.884,44.681,0.043,0.02,0.00,0.00,0.00,0.07,0.63,0.21,0.07,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.81
0.360,4,619.458,771.266,202.737,321.917,618.000,771.000,205.000,327.000,619.791,772.138,203.434,325.021,39.939,41.895,41.895,42.673,35.452,39.043,-6.302,47.631,0.018,0.08,0.02,0.00,0.00,0.06,0.22,0.15,0.46,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.57
