time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.320,5,441.000,617.000,301.000,408.000,438.000,621.000,301.000,411.000,438.000,621.000,301.000,411.000,0.017,0.03,0.01,0.01,0.00,0.09,0.59,0.17,0.11,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.320,1,576.000,838.000,624.000,722.000,580.000,840.000,632.000,723.000,580.000,840.000,632.000,723.000,0.029,0.01,0.00,0.02,0.04,0.29,0.62,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.320,8,439.000,598.000,255.000,336.000,433.000,597.000,256.000,337.000,433.000,597.000,256.000,337.000,0.017,0.01,0.01,0.03,0.01,0.19,0.68,0.07,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.320,4,618.000,764.000,204.000,313.000,616.000,772.000,203.000,326.000,616.000,772.000,203.000,326.000,0.049,0.11,0.03,0.00,0.00,0.07,0.21,0.13,0.44,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.320,6,308.000,446.000,199.000,288.000,314.000,447.000,202.000,285.000,314.000,447.000,202.000,285.000,0.030,0.07,0.00,0.01,0.01,0.17,0.56,0.13,0.06,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.320,7,203.000,305.000,171.000,239.000,204.000,303.000,173.000,239.000,204.000,303.000,173.000,239.000,0.015,0.15,0.07,0.02,0.01,0.25,0.26,0.10,0.14,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.360,3,548.000,749.000,418.000,577.000,549.000,754.000,428.000,584.000,549.000,754.000,428.000,584.000,0.034,0.02,0.01,0.00,0.02,0.07,0.23,0.12,0.53,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.360,2,844.000,1030.000,325.000,472.000,850.000,1037.000,329.000,475.000,850.000,1037.000,329.000,475.000,0.029,0.16,0.03,0.00,0.00,0.08,0.34,0.17,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.360,5,438.000,621.000,301.000,411.000,445.000,630.000,297.000,413.000,445.000,630.000,297.000,413.000,0.035,0.02,0.00,0.00,0.00,0.07,0.63,0.21,0.07,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.360,4,616.000,772.000,203.000,326.000,618.000,771.000,205.000,327.000,618.000,771.000,205.000,327.000,0.011,0.08,0.02,0.00,0.00,0.06,0.22,0.15,0.46,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.360,8,433.000,597.000,256.000,337.000,446.000,608.000,258.000,338.000,446.000,608.000,258.000,338.000,0.046,0.01,0.01,0.02,0.00,0.16,0.70,0.09,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.360,1,580.000,840.000,632.000,723.000,581.000,839.000,639.000,723.000,581.000,839.000,639.000,723.000,0.021,0.01,0.00,0.02,0.05,0.31,0.60,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.360,6,314.000,447.000,202.000,285.000,323.000,445.000,210.000,283.000,323.000,445.000,210.000,283.000,0.051,0.05,0.00,0.00,0.01,0.15,0.61,0.13,0.05,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.360,7,204.000,303.000,173.000,239.000,208.000,305.000,177.000,237.000,208.000,305.000,177.000,237.000,0.038,0.13,0.06,0.01,0.01,0.23,0.26,0.13,0.16,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.400,3,549.000,754.000,428.000,584.000,546.000,760.000,420.000,579.000,546.000,760.000,420.000,579.000,0.032,0.02,0.00,0.00,0.02,0.07,0.27,0.12,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.400,2,850.000,1037.000,329.000,475.000,852.000,1043.000,331.000,482.000,852.000,1043.000,331.000,482.000,0.026,0.18,0.02,0.01,0.00,0.08,0.34,0.17,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.400,5,445.000,630.000,297.000,413.000,431.000,624.000,266.000,376.000,431.000,624.000,266.000,376.000,0.174,0.01,0.01,0.00,0.00,0.13,0.69,0.13,0.02,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.400,4,618.000,771.000,205.000,327.000,624.000,776.000,205.000,330.000,624.000,776.000,205.000,330.000,0.024,0.10,0.02,0.01,0.01,0.06,0.21,0.14,0.46,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.440,3,546.000,760.000,420.000,579.000,554.000,765.000,423.000,592.000,554.000,765.000,423.000,592.000,0.040,0.02,0.00,0.00,0.02,0.07,0.28,0.11,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.440,2,852.000,1043.000,331.000,482.000,850.000,1045.000,332.000,487.000,850.000,1045.000,332.000,487.000,0.015,0.18,0.02,0.00,0.00,0.09,0.34,0.17,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.440,4,624.000,776.000,205.000,330.000,635.000,784.000,207.000,329.000,635.000,784.000,207.000,329.000,0.037,0.10,0.02,0.01,0.01,0.06,0.21,0.13,0.46,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.440,5,431.000,624.000,266.000,376.000,446.000,613.000,258.000,339.000,446.000,613.000,258.000,339.000,0.136,0.01,0.01,0.02,0.01,0.15,0.70,0.09,0.01,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.480,3,554.000,765.000,423.000,592.000,564.000,767.000,425.000,599.000,564.000,767.000,425.000,599.000,0.028,0.03,0.00,0.00,0.02,0.08,0.27,0.11,0.49,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.480,2,850.000,1045.000,332.000,487.000,850.000,1051.000,334.000,499.000,850.000,1051.000,334.000,499.000,0.030,0.17,0.02,0.00,0.00,0.09,0.34,0.17,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.480,9,451.000,633.000,299.000,417.000,445.000,630.000,300.000,418.000,445.000,630.000,300.000,418.000,0.017,0.03,0.00,0.00,0.00,0.09,0.61,0.18,0.08,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07
0.480,5,446.000,613.000,258.000,339.000,436.000,626.000,263.000,372.000,436.000,626.000,263.000,372.000,0.152,0.02,0.01,0.01,0.00,0.15,0.72,0.07,0.01,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.480,4,635.000,784.000,207.000,329.000,636.000,787.000,207.000,333.000,636.000,787.000,207.000,333.000,0.015,0.11,0.03,0.01,0.01,0.07,0.20,0.12,0.45,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.520,3,564.000,767.000,425.000,599.000,560.000,770.000,430.000,610.000,560.000,770.000,430.000,610.000,0.032,0.02,0.00,0.00,0.02,0.07,0.28,0.13,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.520,2,850.000,1051.000,334.000,499.000,855.000,1056.000,337.000,504.000,855.000,1056.000,337.000,504.000,0.025,0.17,0.01,0.00,0.00,0.08,0.36,0.21,0.17,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.520,4,636.000,787.000,207.000,333.000,642.000,790.000,210.000,332.000,642.000,790.000,210.000,332.000,0.023,0.09,0.03,0.00,0.01,0.07,0.20,0.13,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.520,5,436.000,626.000,263.000,372.000,445.000,630.000,261.000,365.000,445.000,630.000,261.000,365.000,0.038,0.02,0.01,0.01,0.01,0.14,0.72,0.09,0.02,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.520,9,445.000,630.000,300.000,418.000,450.000,632.000,304.000,420.000,450.000,632.000,304.000,420.000,0.022,0.01,0.00,0.00,0.00,0.07,0.65,0.20,0.06,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07
0.560,3,560.000,770.000,430.000,610.000,560.000,770.000,441.000,616.000,560.000,770.000,441.000,616.000,0.024,0.02,0.00,0.00,0.02,0.07,0.25,0.13,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.560,2,855.000,1056.000,337.000,504.000,861.000,1070.000,341.000,502.000,861.000,1070.000,341.000,502.000,0.034,0.19,0.02,0.00,0.00,0.08,0.34,0.20,0.17,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.560,4,642.000,790.000,210.000,332.000,643.000,791.000,212.000,334.000,643.000,791.000,212.000,334.000,0.012,0.08,0.03,0.00,0.01,0.07,0.20,0.14,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.560,9,450.000,632.000,304.000,420.000,458.000,643.000,328.000,442.000,458.000,643.000,328.000,442.000,0.125,0.02,0.00,0.00,0.00,0.07,0.60,0.24,0.06,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07
0.560,5,445.000,630.000,261.000,365.000,448.000,626.000,277.000,366.000,448.000,626.000,277.000,366.000,0.050,0.01,0.00,0.00,0.00,0.16,0.76,0.06,0.01,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.560,10,204.000,303.000,172.000,238.000,199.000,307.000,169.000,239.000,199.000,307.000,169.000,239.000,0.038,0.12,0.04,0.00,0.01,0.24,0.31,0.15,0.13,0.10,0.05,0.00,0.01,0.22,0.33,0.16,0.14
0.600,3,560.000,770.000,441.000,616.000,569.000,778.000,449.000,617.000,569.000,778.000,449.000,617.000,0.033,0.02,0.00,0.00,0.02,0.08,0.26,0.12,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.600,2,861.000,1070.000,341.000,502.000,869.000,1074.000,351.000,508.000,869.000,1074.000,351.000,508.000,0.039,0.18,0.02,0.00,0.00,0.08,0.35,0.21,0.15,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.600,9,458.000,643.000,328.000,442.000,461.000,646.000,328.000,443.000,461.000,646.000,328.000,443.000,0.010,0.02,0.00,0.00,0.00,0.09,0.62,0.22,0.05,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07
0.600,4,643.000,791.000,212.000,334.000,646.000,792.000,213.000,333.000,646.000,792.000,213.000,333.000,0.011,0.07,0.03,0.00,0.01,0.07,0.20,0.15,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.600,5,448.000,626.000,277.000,366.000,449.000,629.000,275.000,371.000,449.000,629.000,275.000,371.000,0.025,0.01,0.01,0.01,0.00,0.17,0.73,0.07,0.01,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.600,10,199.000,307.000,169.000,239.000,201.000,306.000,170.000,240.000,201.000,306.000,170.000,240.000,0.014,0.10,0.03,0.00,0.01,0.23,0.34,0.16,0.13,0.10,0.05,0.00,0.01,0.22,0.33,0.16,0.14
0.640,2,869.000,1074.000,351.000,508.000,877.000,1077.000,354.000,515.000,877.000,1077.000,354.000,515.000,0.029,0.18,0.03,0.01,0.01,0.09,0.35,0.19,0.15,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.640,3,569.000,778.000,449.000,617.000,566.000,790.000,450.000,628.000,566.000,790.000,450.000,628.000,0.036,0.02,0.00,0.01,0.01,0.08,0.30,0.12,0.46,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.640,9,461.000,646.000,328.000,443.000,468.000,648.000,330.000,449.000,468.000,648.000,330.000,449.000,0.030,0.02,0.00,0.00,0.00,0.10,0.60,0.22,0.06,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07
0.640,4,646.000,792.000,213.000,333.000,645.000,794.000,216.000,334.000,645.000,794.000,216.000,334.000,0.013,0.07,0.04,0.00,0.01,0.08,0.21,0.13,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.640,5,449.000,629.000,275.000,371.000,452.000,633.000,274.000,369.000,452.000,633.000,274.000,369.000,0.018,0.01,0.01,0.01,0.00,0.18,0.69,0.07,0.02,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.680,3,566.000,790.000,450.000,628.000,560.000,796.000,453.000,636.000,560.000,796.000,453.000,636.000,0.029,0.02,0.00,0.00,0.01,0.06,0.34,0.12,0.44,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.680,2,877.000,1077.000,354.000,515.000,879.000,1088.000,362.000,521.000,879.000,1088.000,362.000,521.000,0.038,0.18,0.02,0.00,0.00,0.08,0.36,0.21,0.15,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.680,9,468.000,648.000,330.000,449.000,468.000,648.000,328.000,449.000,468.000,648.000,328.000,449.000,0.004,0.01,0.00,0.00,0.00,0.08,0.61,0.25,0.05,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07
0.680,4,645.000,794.000,216.000,334.000,643.000,798.000,213.000,338.000,643.000,798.000,213.000,338.000,0.025,0.07,0.04,0.00,0.00,0.06,0.20,0.17,0.45,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.680,5,452.000,633.000,274.000,369.000,459.000,653.000,266.000,376.000,459.000,653.000,266.000,376.000,0.077,0.01,0.01,0.01,0.00,0.12,0.71,0.11,0.02,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.720,3,560.000,796.000,453.000,636.000,559.000,799.000,456.000,646.000,559.000,799.000,456.000,646.000,0.022,0.02,0.00,0.00,0.01,0.06,0.35,0.11,0.43,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.720,2,879.000,1088.000,362.000,521.000,885.000,1093.000,363.000,525.000,885.000,1093.000,363.000,525.000,0.021,0.20,0.02,0.00,0.00,0.08,0.35,0.19,0.15,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
