time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance
0.80,2,893.04,1099.21,370.63,534.12,896.00,1098.00,372.00,542.00,894.87,1098.46,371.48,538.99,8.61
0.80,4,653.65,817.74,218.50,343.16,658.00,833.00,214.00,348.00,656.34,827.17,215.72,346.15,17.19
0.80,5,470.58,652.24,289.80,398.44,481.00,663.00,336.00,463.00,476.41,658.26,315.63,434.54,80.79
0.80,5,476.41,658.26,315.63,434.54,468.00,662.00,270.00,377.00,473.39,659.60,299.27,413.90,30.88
0.80,6,373.14,504.80,227.16,306.80,368.00,492.00,208.00,278.00,366.91,492.99,214.10,287.47,37.24
0.80,6,366.91,492.99,214.10,287.47,363.00,492.00,233.00,322.00,368.26,496.37,222.65,302.30,23.06
0.80,5,473.39,659.60,299.27,413.90,443.00,635.00,306.00,399.00,465.37,653.11,301.04,409.97,36.35
0.80,5,465.37,653.11,301.04,409.97,438.00,605.00,258.00,341.00,459.66,643.06,292.05,395.57,87.20
0.84,3,563.74,812.68,476.08,668.72,556.00,808.00,486.00,674.00,558.96,809.79,482.21,671.98,14.43
0.84,2,898.23,1102.65,374.21,542.70,897.00,1105.00,370.00,540.00,897.47,1104.10,371.61,541.03,5.66
0.84,4,658.70,830.42,216.14,347.73,660.00,834.00,217.00,346.00,659.50,832.63,216.67,346.66,4.27
0.84,5,461.27,645.18,292.97,396.14,489.00,666.00,337.00,467.00,476.45,656.58,317.07,434.92,90.35
0.84,5,476.45,656.58,317.07,434.92,472.00,660.00,269.00,375.00,474.87,657.79,300.07,413.73,36.83
0.84,6,370.44,498.79,223.63,303.14,364.00,493.00,234.00,322.00,366.03,494.52,229.20,313.47,23.20
0.84,6,366.03,494.52,229.20,313.47,367.00,494.00,214.00,279.00,366.98,495.13,224.01,301.35,26.65
0.88,3,560.32,813.01,486.07,677.57,567.00,813.00,491.00,681.00,564.45,813.00,489.12,679.69,8.98
0.88,2,900.89,1108.46,374.31,544.78,910.00,1112.00,379.00,544.00,906.52,1110.65,377.21,544.30,10.87
0.88,5,477.07,660.46,301.29,415.02,487.00,669.00,341.00,472.00,482.78,665.37,324.13,447.79,70.68
0.88,4,661.95,836.06,217.13,348.24,664.00,837.00,217.00,351.00,663.22,836.64,217.05,349.95,3.56
0.88,6,369.09,497.48,225.03,302.15,371.00,496.00,231.00,322.00,370.05,496.43,228.39,313.49,20.86
0.88,6,370.05,496.43,228.39,313.49,373.00,496.00,208.00,282.00,371.25,496.44,221.00,302.07,26.72
0.92,3,566.01,816.31,493.21,685.52,575.00,824.00,499.00,689.00,571.57,821.06,496.79,687.67,13.62
0.92,2,910.26,1115.21,380.11,548.13,907.00,1120.00,384.00,557.00,908.24,1118.17,382.51,553.61,11.29
0.92,5,485.27,668.32,326.30,450.44,489.00,675.00,343.00,478.00,487.55,672.41,336.51,467.30,33.13
0.92,4,665.79,840.20,217.52,351.64,660.00,828.00,215.00,350.00,662.21,832.66,215.96,350.62,13.83
0.92,6,373.52,498.82,221.90,302.89,371.00,499.00,228.00,328.00,372.03,498.88,225.40,317.36,25.96
0.92,6,372.03,498.88,225.40,317.36,373.00,496.00,211.00,280.00,372.41,497.86,220.15,303.71,25.52
0.96,3,573.38,824.65,501.14,693.74,583.00,832.00,502.00,696.00,579.33,829.19,501.67,695.14,12.34
0.96,2,912.00,1122.97,385.58,557.77,904.00,1122.00,390.00,565.00,907.06,1122.37,388.31,562.24,11.70
0.96,5,490.20,675.60,339.16,470.71,486.00,681.00,348.00,477.00,487.61,678.93,344.62,474.59,12.83
0.96,4,664.71,836.02,216.38,352.32,662.00,832.00,215.00,354.00,663.03,833.53,215.53,353.36,5.31
