time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
1.033,2175847562376,19,0.353,51.010,492.831,68.544,357.526,1,1,1,1,45.607,-131.663,52.767,97.121,2756.741,3275.353,3275.353,3944.562,2756.741,3275.353,3275.353,3944.562,2756.741,3275.353,3275.353,3944.562,2756.741,3275.353,3275.353,3944.562,271.920,213.035,-43.028,74.944,5513.482,5513.482,22,2175847562656,False,15.000,562.000,18.000,316.000
1.033,2175804665248,19,0.337,135.579,145.288,252.483,293.363,1,1,1,1,145.821,-520.568,269.313,14.398,487.855,586.736,586.736,751.337,487.855,586.736,586.736,751.337,487.855,586.736,586.736,751.337,487.855,586.736,586.736,751.337,140.433,272.923,-187.373,141.856,975.710,975.710,11,2175847561816,False,97.000,291.000,187.000,266.000
1.067,2175847562376,19,0.353,52.530,488.442,70.303,360.764,1,1,1,1,45.607,-131.663,52.767,97.121,2979.581,3406.838,3406.838,3945.562,2979.581,3406.838,3406.838,3945.562,2979.581,3406.838,3406.838,3945.562,2979.581,3406.838,3406.838,3945.562,270.486,215.533,-43.028,74.944,5959.162,5959.162,23,2175847562656,False,15.000,562.000,18.000,316.000
1.100,2175847562376,19,0.353,54.050,484.053,72.062,364.001,1,1,1,1,45.607,-131.663,52.767,97.121,3211.187,3538.357,3538.357,3946.562,3211.187,3538.357,3538.357,3946.562,3211.187,3538.357,3538.357,3946.562,3211.187,3538.357,3538.357,3946.562,269.052,218.031,-43.028,74.944,6422.375,6422.375,24,2175847562656,False,15.000,562.000,18.000,316.000
1.133,2175847562376,19,0.353,55.571,479.665,73.820,367.239,1,1,1,1,45.607,-131.663,52.767,97.121,3451.563,3669.909,3669.909,3947.562,3451.563,3669.909,3669.909,3947.562,3451.563,3669.909,3669.909,3947.562,3451.563,3669.909,3669.909,3947.562,267.618,220.530,-43.028,74.944,6903.126,6903.126,25,2175847562656,False,15.000,562.000,18.000,316.000
1.167,2175847562376,19,0.353,57.091,475.276,75.579,370.476,1,1,1,1,45.607,-131.663,52.767,97.121,3700.710,3801.494,3801.494,3948.562,3700.710,3801.494,3801.494,3948.562,3700.710,3801.494,3801.494,3948.562,3700.710,3801.494,3801.494,3948.562,266.183,223.028,-43.028,74.944,7401.420,7401.420,26,2175847562656,False,15.000,562.000,18.000,316.000
1.200,2175847562376,19,0.353,58.611,470.887,77.338,373.713,1,1,1,1,45.607,-131.663,52.767,97.121,3958.630,3933.113,3933.113,3949.562,3958.630,3933.113,3933.113,3949.562,3958.630,3933.113,3933.113,3949.562,3958.630,3933.113,3933.113,3949.562,264.749,225.526,-43.028,74.944,7917.260,7917.260,27,2175847562656,False,15.000,562.000,18.000,316.000
1.233,2175847562376,19,0.353,60.131,466.498,79.097,376.951,1,1,1,1,45.607,-131.663,52.767,97.121,4225.326,4064.765,4064.765,3950.562,4225.326,4064.765,4064.765,3950.562,4225.326,4064.765,4064.765,3950.562,4225.326,4064.765,4064.765,3950.562,263.315,228.024,-43.028,74.944,8450.652,8450.652,28,2175847562656,False,15.000,562.000,18.000,316.000
1.267,2175847562376,19,0.353,61.652,462.110,80.856,380.188,1,1,1,1,45.607,-131.663,52.767,97.121,4500.800,4196.451,4196.451,3951.562,4500.800,4196.451,4196.451,3951.562,4500.800,4196.451,4196.451,3951.562,4500.800,4196.451,4196.451,3951.562,261.881,230.522,-43.028,74.944,9001.600,9001.600,29,2175847562656,False,15.000,562.000,18.000,316.000
1.300,2175847562376,19,0.353,63.172,457.721,82.615,383.425,1,1,1,1,45.607,-131.663,52.767,97.121,4785.054,4328.169,4328.169,3952.562,4785.054,4328.169,4328.169,3952.562,4785.054,4328.169,4328.169,3952.562,4785.054,4328.169,4328.169,3952.562,260.446,233.020,-43.028,74.944,9570.108,9570.108,30,2175847562656,False,15.000,562.000,18.000,316.000
